Course Code,Academic Period,Subject,Subject College,Department,MT C or Higher,"MT C-, D, F, W",MT Not Reported,Total Grades,# of Passing Grades,% of Passing Grades
MDJ 21449,202580,MDJ,CCI,MDJ,16.0,2.0,2.0,20.0,0.8,80.00%
THEA 19134,202280,THEA,CotA,THDN,32.0,3.0,5.0,40.0,0.8,80.00%
VCD 18414,202410,VCD,CCI,VCD,36.0,4.0,5.0,45.0,0.8,80.00%
VCD 18839,202610,VCD,CCI,VCD,80.0,14.0,6.0,100.0,0.8,80.00%
VCD 19343,202380,VCD,CCI,VCD,20.0,2.0,3.0,25.0,0.8,80.00%
CMGT 19400,202310,CMGT,CAED,ARCH,64.0,10.0,6.0,80.0,0.8,80.00%
MDJ 28950,202310,MDJ,CCI,MDJ,36.0,3.0,6.0,45.0,0.8,80.00%
MDJ 28436,202610,MDJ,CCI,MDJ,32.0,5.0,3.0,40.0,0.8,80.00%
DAN 13945,202280,DAN,CotA,THDN,8.0,0.0,2.0,10.0,0.8,80.00%
EMAT 12670,202580,EMAT,CCI,EMAT,16.0,1.0,3.0,20.0,0.8,80.00%
EMAT 19538,202310,EMAT,CCI,EMAT,164.0,24.0,17.0,205.0,0.8,80.00%
EMAT 19538,202380,EMAT,CCI,EMAT,140.0,13.0,22.0,175.0,0.8,80.00%
THEA 22478,202380,THEA,CotA,THDN,8.0,2.0,0.0,10.0,0.8,80.00%
VCD 17656,202480,VCD,CCI,VCD,24.0,3.0,3.0,30.0,0.8,80.00%
THEA 17060,202410,THEA,CotA,THDN,28.0,4.0,3.0,35.0,0.8,80.00%
THEA 17060,202510,THEA,CotA,THDN,36.0,4.0,5.0,45.0,0.8,80.00%
THEA 25303,202580,THEA,CotA,THDN,12.0,3.0,0.0,15.0,0.8,80.00%
VCD 19588,202610,VCD,CCI,VCD,68.0,10.0,7.0,85.0,0.8,80.00%
MUS 28740,202410,MUS,CotA,MUS,28.0,5.0,2.0,35.0,0.8,80.00%
MUS 22669,202410,MUS,CotA,MUS,32.0,6.0,2.0,40.0,0.8,80.00%
MDJ 12062,202510,MDJ,CCI,MDJ,16.0,1.0,3.0,20.0,0.8,80.00%
FDM 12670,202480,FDM,CotA,FDM,246.0,30.0,32.0,308.0,0.7987012987012987,79.87%
VCD 18839,202410,VCD,CCI,VCD,107.0,14.0,13.0,134.0,0.7985074626865671,79.85%
MUS 12716,202610,MUS,CotA,MUS,305.0,46.0,31.0,382.0,0.7984293193717278,79.84%
FDM 11617,202610,FDM,CotA,FDM,166.0,30.0,12.0,208.0,0.7980769230769231,79.81%
CCI 11716,202410,CCI,CCI,CCI,79.0,11.0,9.0,99.0,0.797979797979798,79.80%
EMAT 19538,202510,EMAT,CCI,EMAT,142.0,11.0,25.0,178.0,0.797752808988764,79.78%
FDM 29003,202580,FDM,CotA,FDM,71.0,10.0,8.0,89.0,0.797752808988764,79.78%
ARCH 16841,202510,ARCH,CAED,ARCH,414.0,54.0,51.0,519.0,0.7976878612716763,79.77%
ID 19670,202410,ID,CAED,ARCH,63.0,6.0,10.0,79.0,0.7974683544303798,79.75%
FDM 13023,202380,FDM,CotA,FDM,181.0,26.0,20.0,227.0,0.7973568281938326,79.74%
MDJ 15027,202410,MDJ,CCI,MDJ,334.0,40.0,45.0,419.0,0.7971360381861575,79.71%
MDJ 20627,202410,MDJ,CCI,MDJ,55.0,9.0,5.0,69.0,0.7971014492753623,79.71%
FDM 25884,202280,FDM,CotA,FDM,192.0,23.0,26.0,241.0,0.7966804979253111,79.67%
MUS 12716,202310,MUS,CotA,MUS,329.0,44.0,40.0,413.0,0.7966101694915254,79.66%
FDM 25884,202610,FDM,CotA,FDM,141.0,21.0,15.0,177.0,0.7966101694915254,79.66%
COMM 17591,202310,COMM,CCI,COMM,516.0,71.0,61.0,648.0,0.7962962962962963,79.63%
FDM 20907,202310,FDM,CotA,FDM,129.0,15.0,18.0,162.0,0.7962962962962963,79.63%
FDM 17764,202480,FDM,CotA,FDM,140.0,22.0,14.0,176.0,0.7954545454545454,79.55%
VCD 24327,202280,VCD,CCI,VCD,35.0,5.0,4.0,44.0,0.7954545454545454,79.55%
THEA 26012,202280,THEA,CotA,THDN,35.0,5.0,4.0,44.0,0.7954545454545454,79.55%
ARCH 29604,202410,ARCH,CAED,ARCH,70.0,11.0,7.0,88.0,0.7954545454545454,79.55%
MDJ 12683,202380,MDJ,CCI,MDJ,35.0,2.0,7.0,44.0,0.7954545454545454,79.55%
FDM 20725,202280,FDM,CotA,FDM,206.0,29.0,24.0,259.0,0.7953667953667953,79.54%
VCD 25988,202380,VCD,CCI,VCD,66.0,6.0,11.0,83.0,0.7951807228915663,79.52%
EMAT 19538,202610,EMAT,CCI,EMAT,132.0,24.0,10.0,166.0,0.7951807228915663,79.52%
FDM 12721,202610,FDM,CotA,FDM,97.0,12.0,13.0,122.0,0.7950819672131147,79.51%
FDM 11617,202580,FDM,CotA,FDM,159.0,22.0,19.0,200.0,0.795,79.50%
ID 13889,202410,ID,CAED,ARCH,62.0,11.0,5.0,78.0,0.7948717948717948,79.49%
FDM 13023,202310,FDM,CotA,FDM,139.0,17.0,19.0,175.0,0.7942857142857143,79.43%
FDM 11617,202410,FDM,CotA,FDM,139.0,16.0,20.0,175.0,0.7942857142857143,79.43%
FDM 24923,202480,FDM,CotA,FDM,139.0,15.0,21.0,175.0,0.7942857142857143,79.43%
FDM 21467,202410,FDM,CotA,FDM,166.0,21.0,22.0,209.0,0.7942583732057417,79.43%
FDM 18819,202280,FDM,CotA,FDM,81.0,11.0,10.0,102.0,0.7941176470588235,79.41%
FDM 20725,202580,FDM,CotA,FDM,154.0,21.0,19.0,194.0,0.7938144329896907,79.38%
MDJ 25946,202310,MDJ,CCI,MDJ,50.0,7.0,6.0,63.0,0.7936507936507936,79.37%
FDM 27868,202510,FDM,CotA,FDM,73.0,11.0,8.0,92.0,0.7934782608695652,79.35%
ARCH 13310,202410,ARCH,CAED,ARCH,73.0,7.0,12.0,92.0,0.7934782608695652,79.35%
ARTH 12842,202510,ARTH,CotA,ART,215.0,27.0,29.0,271.0,0.7933579335793358,79.34%
FDM 29298,202610,FDM,CotA,FDM,142.0,24.0,13.0,179.0,0.7932960893854749,79.33%
ARCH 29604,202610,ARCH,CAED,ARCH,69.0,11.0,7.0,87.0,0.7931034482758621,79.31%
THEA 22559,202380,THEA,CotA,THDN,42.0,4.0,7.0,53.0,0.7924528301886793,79.25%
VCD 28950,202410,VCD,CCI,VCD,42.0,3.0,8.0,53.0,0.7924528301886793,79.25%
MUS 12716,202510,MUS,CotA,MUS,351.0,43.0,49.0,443.0,0.7923250564334086,79.23%
ARCH 16841,202310,ARCH,CAED,ARCH,370.0,52.0,45.0,467.0,0.7922912205567452,79.23%
FDM 24923,202410,FDM,CotA,FDM,141.0,22.0,15.0,178.0,0.7921348314606742,79.21%
FDM 13023,202580,FDM,CotA,FDM,160.0,26.0,16.0,202.0,0.7920792079207921,79.21%
MDJ 15027,202480,MDJ,CCI,MDJ,460.0,60.0,61.0,581.0,0.7917383820998278,79.17%
FDM 17764,202310,FDM,CotA,FDM,19.0,3.0,2.0,24.0,0.7916666666666666,79.17%
THEA 18720,202610,THEA,CotA,THDN,19.0,2.0,3.0,24.0,0.7916666666666666,79.17%
MUS 23241,202580,MUS,CotA,MUS,425.0,67.0,45.0,537.0,0.7914338919925512,79.14%
COMM 17591,202280,COMM,CCI,COMM,994.0,136.0,126.0,1256.0,0.7914012738853503,79.14%
MUS 28740,202510,MUS,CotA,MUS,34.0,6.0,3.0,43.0,0.7906976744186046,79.07%
FDM 21467,202510,FDM,CotA,FDM,117.0,16.0,15.0,148.0,0.7905405405405406,79.05%
MUS 20682,202610,MUS,CotA,MUS,83.0,15.0,7.0,105.0,0.7904761904761904,79.05%
FDM 24923,202580,FDM,CotA,FDM,162.0,27.0,16.0,205.0,0.7902439024390244,79.02%
ARTS 28482,202480,ARTS,CotA,ART,64.0,5.0,12.0,81.0,0.7901234567901234,79.01%
FDM 29298,202480,FDM,CotA,FDM,173.0,18.0,28.0,219.0,0.7899543378995434,79.00%
FDM 20725,202610,FDM,CotA,FDM,139.0,28.0,9.0,176.0,0.7897727272727273,78.98%
MDJ 22045,202580,MDJ,CCI,MDJ,15.0,0.0,4.0,19.0,0.7894736842105263,78.95%
MDJ 11788,202410,MDJ,CCI,MDJ,15.0,2.0,2.0,19.0,0.7894736842105263,78.95%
THEA 21764,202410,THEA,CotA,THDN,15.0,1.0,3.0,19.0,0.7894736842105263,78.95%
THEA 21764,202510,THEA,CotA,THDN,15.0,2.0,2.0,19.0,0.7894736842105263,78.95%
ARCH 11467,202380,ARCH,CAED,ARCH,266.0,41.0,30.0,337.0,0.7893175074183977,78.93%
VCD 19588,202380,VCD,CCI,VCD,187.0,33.0,17.0,237.0,0.7890295358649789,78.90%
FDM 21467,202610,FDM,CotA,FDM,142.0,23.0,15.0,180.0,0.7888888888888889,78.89%
ID 29543,202410,ID,CAED,ARCH,41.0,9.0,2.0,52.0,0.7884615384615384,78.85%
THEA 10881,202280,THEA,CotA,THDN,327.0,47.0,41.0,415.0,0.7879518072289157,78.80%
THEA 22915,202480,THEA,CotA,THDN,26.0,3.0,4.0,33.0,0.7878787878787878,78.79%
FDM 18819,202480,FDM,CotA,FDM,78.0,12.0,9.0,99.0,0.7878787878787878,78.79%
VCD 18414,202280,VCD,CCI,VCD,26.0,5.0,2.0,33.0,0.7878787878787878,78.79%
ARCH 11467,202280,ARCH,CAED,ARCH,226.0,32.0,29.0,287.0,0.7874564459930313,78.75%
FDM 24923,202280,FDM,CotA,FDM,163.0,20.0,24.0,207.0,0.7874396135265701,78.74%
FDM 11617,202280,FDM,CotA,FDM,200.0,27.0,27.0,254.0,0.7874015748031497,78.74%
COMM 17591,202510,COMM,CCI,COMM,496.0,69.0,65.0,630.0,0.7873015873015873,78.73%
THEA 10881,202310,THEA,CotA,THDN,233.0,38.0,25.0,296.0,0.7871621621621622,78.72%
ID 24050,202480,ID,CAED,ARCH,92.0,13.0,12.0,117.0,0.7863247863247863,78.63%
MUS 23241,202480,MUS,CotA,MUS,445.0,73.0,48.0,566.0,0.7862190812720848,78.62%
MUS 23241,202610,MUS,CotA,MUS,375.0,68.0,34.0,477.0,0.7861635220125787,78.62%
ARCS 11014,202310,ARCS,CAED,ARCH,11.0,2.0,1.0,14.0,0.7857142857142857,78.57%
THEA 22478,202580,THEA,CotA,THDN,55.0,10.0,5.0,70.0,0.7857142857142857,78.57%
MDJ 15027,202580,MDJ,CCI,MDJ,451.0,66.0,58.0,575.0,0.7843478260869565,78.43%
FDM 18819,202310,FDM,CotA,FDM,80.0,12.0,10.0,102.0,0.7843137254901961,78.43%
ID 15409,202310,ID,CAED,ARCH,40.0,3.0,8.0,51.0,0.7843137254901961,78.43%
MUS 23241,202410,MUS,CotA,MUS,480.0,77.0,55.0,612.0,0.7843137254901961,78.43%
THEA 22478,202310,THEA,CotA,THDN,40.0,4.0,7.0,51.0,0.7843137254901961,78.43%
FDM 18819,202580,FDM,CotA,FDM,58.0,8.0,8.0,74.0,0.7837837837837838,78.38%
MDJ 28984,202510,MDJ,CCI,MDJ,76.0,10.0,11.0,97.0,0.7835051546391752,78.35%
CMGT 21745,202510,CMGT,CAED,ARCH,94.0,15.0,11.0,120.0,0.7833333333333333,78.33%
ARTH 12842,202610,ARTH,CotA,ART,188.0,42.0,10.0,240.0,0.7833333333333333,78.33%
ARCH 15217,202410,ARCH,CAED,ARCH,112.0,12.0,19.0,143.0,0.7832167832167832,78.32%
MUS 23241,202310,MUS,CotA,MUS,466.0,60.0,69.0,595.0,0.7831932773109244,78.32%
MUS 12716,202410,MUS,CotA,MUS,278.0,45.0,32.0,355.0,0.7830985915492957,78.31%
FDM 25693,202580,FDM,CotA,FDM,101.0,11.0,17.0,129.0,0.7829457364341085,78.29%
VCD 24327,202380,VCD,CCI,VCD,36.0,5.0,5.0,46.0,0.782608695652174,78.26%
FDM 11617,202380,FDM,CotA,FDM,180.0,25.0,25.0,230.0,0.782608695652174,78.26%
FDM 13023,202610,FDM,CotA,FDM,162.0,32.0,13.0,207.0,0.782608695652174,78.26%
ARTS 28507,202280,ARTS,CotA,ART,90.0,15.0,10.0,115.0,0.782608695652174,78.26%
FDM 27868,202580,FDM,CotA,FDM,54.0,10.0,5.0,69.0,0.782608695652174,78.26%
MDJ 28436,202480,MDJ,CCI,MDJ,36.0,6.0,4.0,46.0,0.782608695652174,78.26%
FDM 14111,202510,FDM,CotA,FDM,140.0,22.0,17.0,179.0,0.7821229050279329,78.21%
FDM 11617,202310,FDM,CotA,FDM,140.0,18.0,21.0,179.0,0.7821229050279329,78.21%
FDM 20725,202480,FDM,CotA,FDM,183.0,29.0,22.0,234.0,0.782051282051282,78.21%
CCI 11716,202510,CCI,CCI,CCI,61.0,9.0,8.0,78.0,0.782051282051282,78.21%
ART 21467,202310,ART,CotA,ART,61.0,9.0,8.0,78.0,0.782051282051282,78.21%
FDM 29003,202510,FDM,CotA,FDM,122.0,21.0,13.0,156.0,0.782051282051282,78.21%
VCD 20802,202380,VCD,CCI,VCD,61.0,9.0,8.0,78.0,0.782051282051282,78.21%
FDM 20907,202280,FDM,CotA,FDM,43.0,8.0,4.0,55.0,0.7818181818181819,78.18%
ARTS 28482,202280,ARTS,CotA,ART,43.0,3.0,9.0,55.0,0.7818181818181819,78.18%
ID 11937,202280,ID,CAED,ARCH,43.0,7.0,5.0,55.0,0.7818181818181819,78.18%
ARTS 28507,202580,ARTS,CotA,ART,100.0,16.0,12.0,128.0,0.78125,78.12%
MDJ 28950,202610,MDJ,CCI,MDJ,25.0,6.0,1.0,32.0,0.78125,78.12%
FDM 12721,202310,FDM,CotA,FDM,107.0,14.0,16.0,137.0,0.781021897810219,78.10%
FDM 25884,202410,FDM,CotA,FDM,146.0,15.0,26.0,187.0,0.7807486631016043,78.07%
THEA 25988,202380,THEA,CotA,THDN,39.0,8.0,3.0,50.0,0.78,78.00%
VCD 13182,202610,VCD,CCI,VCD,39.0,9.0,2.0,50.0,0.78,78.00%
ID 19670,202310,ID,CAED,ARCH,39.0,2.0,9.0,50.0,0.78,78.00%
EMAT 21440,202310,EMAT,CCI,EMAT,46.0,7.0,6.0,59.0,0.7796610169491526,77.97%
FDM 24923,202610,FDM,CotA,FDM,120.0,24.0,10.0,154.0,0.7792207792207793,77.92%
MDJ 25946,202410,MDJ,CCI,MDJ,60.0,6.0,11.0,77.0,0.7792207792207793,77.92%
CMGT 16841,202480,CMGT,CAED,ARCH,67.0,8.0,11.0,86.0,0.7790697674418605,77.91%
FDM 12681,202480,FDM,CotA,FDM,81.0,13.0,10.0,104.0,0.7788461538461539,77.88%
FDM 12681,202380,FDM,CotA,FDM,95.0,17.0,10.0,122.0,0.7786885245901639,77.87%
FDM 29003,202310,FDM,CotA,FDM,116.0,18.0,15.0,149.0,0.7785234899328859,77.85%
MDJ 15027,202310,MDJ,CCI,MDJ,379.0,51.0,57.0,487.0,0.7782340862422998,77.82%
COMM 17591,202480,COMM,CCI,COMM,1080.0,172.0,136.0,1388.0,0.7780979827089337,77.81%
ARCH 22860,202280,ARCH,CAED,ARCH,84.0,18.0,6.0,108.0,0.7777777777777778,77.78%
ARCH 19059,202610,ARCH,CAED,ARCH,21.0,5.0,1.0,27.0,0.7777777777777778,77.78%
THEA 29275,202480,THEA,CotA,THDN,42.0,7.0,5.0,54.0,0.7777777777777778,77.78%
THEA 29566,202280,THEA,CotA,THDN,7.0,0.0,2.0,9.0,0.7777777777777778,77.78%
MDJ 22045,202380,MDJ,CCI,MDJ,14.0,2.0,2.0,18.0,0.7777777777777778,77.78%
MUS 20682,202410,MUS,CotA,MUS,7.0,2.0,0.0,9.0,0.7777777777777778,77.78%
CMGT 17964,202310,CMGT,CAED,ARCH,77.0,17.0,5.0,99.0,0.7777777777777778,77.78%
MDJ 22045,202280,MDJ,CCI,MDJ,14.0,2.0,2.0,18.0,0.7777777777777778,77.78%
ARCH 14841,202510,ARCH,CAED,ARCH,101.0,15.0,14.0,130.0,0.7769230769230769,77.69%
ARCH 22860,202380,ARCH,CAED,ARCH,94.0,14.0,13.0,121.0,0.7768595041322314,77.69%
MDJ 28984,202480,MDJ,CCI,MDJ,125.0,18.0,18.0,161.0,0.7763975155279503,77.64%
ARTH 12842,202580,ARTH,CotA,ART,229.0,41.0,25.0,295.0,0.7762711864406779,77.63%
MDJ 15027,202510,MDJ,CCI,MDJ,340.0,49.0,49.0,438.0,0.776255707762557,77.63%
VCD 20802,202280,VCD,CCI,VCD,45.0,9.0,4.0,58.0,0.7758620689655172,77.59%
VCD 18839,202510,VCD,CCI,VCD,83.0,10.0,14.0,107.0,0.7757009345794392,77.57%
ARCH 19059,202580,ARCH,CAED,ARCH,114.0,15.0,18.0,147.0,0.7755102040816326,77.55%
FDM 27868,202480,FDM,CotA,FDM,69.0,7.0,13.0,89.0,0.7752808988764045,77.53%
MDJ 22796,202580,MDJ,CCI,MDJ,31.0,5.0,4.0,40.0,0.775,77.50%
FDM 27868,202310,FDM,CotA,FDM,48.0,7.0,7.0,62.0,0.7741935483870968,77.42%
ARTS 19694,202580,ARTS,CotA,ART,48.0,9.0,5.0,62.0,0.7741935483870968,77.42%
ID 15409,202410,ID,CAED,ARCH,65.0,11.0,8.0,84.0,0.7738095238095238,77.38%
MUS 10469,202610,MUS,CotA,MUS,41.0,8.0,4.0,53.0,0.7735849056603774,77.36%
FDM 27868,202380,FDM,CotA,FDM,75.0,10.0,12.0,97.0,0.7731958762886598,77.32%
FDM 12670,202510,FDM,CotA,FDM,75.0,14.0,8.0,97.0,0.7731958762886598,77.32%
FDM 29298,202510,FDM,CotA,FDM,109.0,15.0,17.0,141.0,0.7730496453900709,77.30%
VCD 17213,202410,VCD,CCI,VCD,17.0,4.0,1.0,22.0,0.7727272727272727,77.27%
THEA 25988,202280,THEA,CotA,THDN,34.0,6.0,4.0,44.0,0.7727272727272727,77.27%
THEA 20443,202310,THEA,CotA,THDN,17.0,1.0,4.0,22.0,0.7727272727272727,77.27%
VCD 19588,202280,VCD,CCI,VCD,183.0,28.0,26.0,237.0,0.7721518987341772,77.22%
FDM 23628,202410,FDM,CotA,FDM,61.0,9.0,9.0,79.0,0.7721518987341772,77.22%
VCD 28950,202380,VCD,CCI,VCD,132.0,23.0,16.0,171.0,0.7719298245614035,77.19%
MDJ 20627,202310,MDJ,CCI,MDJ,54.0,10.0,6.0,70.0,0.7714285714285715,77.14%
VCD 18839,202580,VCD,CCI,VCD,27.0,5.0,3.0,35.0,0.7714285714285715,77.14%
VCD 19588,202310,VCD,CCI,VCD,91.0,16.0,11.0,118.0,0.7711864406779662,77.12%
MUS 12716,202280,MUS,CotA,MUS,421.0,64.0,61.0,546.0,0.7710622710622711,77.11%
MDJ 28436,202410,MDJ,CCI,MDJ,37.0,6.0,5.0,48.0,0.7708333333333334,77.08%
ID 15409,202610,ID,CAED,ARCH,47.0,11.0,3.0,61.0,0.7704918032786885,77.05%
ARTH 12842,202280,ARTH,CotA,ART,228.0,32.0,36.0,296.0,0.7702702702702703,77.03%
MDJ 13358,202480,MDJ,CCI,MDJ,57.0,10.0,7.0,74.0,0.7702702702702703,77.03%
MDJ 28984,202380,MDJ,CCI,MDJ,114.0,16.0,18.0,148.0,0.7702702702702703,77.03%
CMGT 17964,202510,CMGT,CAED,ARCH,67.0,11.0,9.0,87.0,0.7701149425287356,77.01%
ARCH 15217,202610,ARCH,CAED,ARCH,117.0,18.0,17.0,152.0,0.7697368421052632,76.97%
DAN 27345,202310,DAN,CotA,THDN,10.0,1.0,2.0,13.0,0.7692307692307693,76.92%
ARCS 13373,202380,ARCS,CAED,ARCH,10.0,3.0,0.0,13.0,0.7692307692307693,76.92%
FDM 19829,202280,FDM,CotA,FDM,50.0,7.0,8.0,65.0,0.7692307692307693,76.92%
ART 29123,202580,ART,CotA,ART,60.0,8.0,10.0,78.0,0.7692307692307693,76.92%
MDJ 21449,202410,MDJ,CCI,MDJ,30.0,5.0,4.0,39.0,0.7692307692307693,76.92%
MDJ 25865,202410,MDJ,CCI,MDJ,30.0,6.0,3.0,39.0,0.7692307692307693,76.92%
MUS 12689,202580,MUS,CotA,MUS,20.0,2.0,4.0,26.0,0.7692307692307693,76.92%
ARTH 23813,202280,ARTH,CotA,ART,10.0,1.0,2.0,13.0,0.7692307692307693,76.92%
VCD 17656,202580,VCD,CCI,VCD,20.0,3.0,3.0,26.0,0.7692307692307693,76.92%
CMGT 11015,202410,CMGT,CAED,ARCH,30.0,5.0,4.0,39.0,0.7692307692307693,76.92%
CMGT 11015,202610,CMGT,CAED,ARCH,30.0,5.0,4.0,39.0,0.7692307692307693,76.92%
FDM 19829,202510,FDM,CotA,FDM,113.0,20.0,14.0,147.0,0.7687074829931972,76.87%
ARCH 16841,202580,ARCH,CAED,ARCH,531.0,76.0,84.0,691.0,0.768451519536903,76.85%
CCI 11716,202580,CCI,CCI,CCI,73.0,14.0,8.0,95.0,0.7684210526315789,76.84%
MDJ 20288,202280,MDJ,CCI,MDJ,53.0,10.0,6.0,69.0,0.7681159420289855,76.81%
FDM 12681,202410,FDM,CotA,FDM,86.0,14.0,12.0,112.0,0.7678571428571429,76.79%
ARTH 17400,202610,ARTH,CotA,ART,205.0,46.0,16.0,267.0,0.7677902621722846,76.78%
ARTS 28507,202480,ARTS,CotA,ART,89.0,15.0,12.0,116.0,0.7672413793103449,76.72%
CMGT 23815,202280,CMGT,CAED,ARCH,56.0,8.0,9.0,73.0,0.7671232876712328,76.71%
MDJ 17554,202310,MDJ,CCI,MDJ,23.0,5.0,2.0,30.0,0.7666666666666667,76.67%
MDJ 25459,202280,MDJ,CCI,MDJ,23.0,4.0,3.0,30.0,0.7666666666666667,76.67%
CMGT 16841,202510,CMGT,CAED,ARCH,46.0,7.0,7.0,60.0,0.7666666666666667,76.67%
FDM 25693,202410,FDM,CotA,FDM,23.0,4.0,3.0,30.0,0.7666666666666667,76.67%
MDJ 17554,202410,MDJ,CCI,MDJ,23.0,5.0,2.0,30.0,0.7666666666666667,76.67%
VCD 17656,202410,VCD,CCI,VCD,23.0,4.0,3.0,30.0,0.7666666666666667,76.67%
MUS 10469,202410,MUS,CotA,MUS,46.0,8.0,6.0,60.0,0.7666666666666667,76.67%
MDJ 28984,202410,MDJ,CCI,MDJ,82.0,11.0,14.0,107.0,0.7663551401869159,76.64%
FDM 29298,202580,FDM,CotA,FDM,147.0,26.0,19.0,192.0,0.765625,76.56%
FDM 21467,202480,FDM,CotA,FDM,176.0,30.0,24.0,230.0,0.7652173913043478,76.52%
THEA 22559,202280,THEA,CotA,THDN,39.0,5.0,7.0,51.0,0.7647058823529411,76.47%
THEA 24282,202580,THEA,CotA,THDN,13.0,1.0,3.0,17.0,0.7647058823529411,76.47%
FDM 14111,202310,FDM,CotA,FDM,169.0,28.0,24.0,221.0,0.7647058823529411,76.47%
THEA 14029,202510,THEA,CotA,THDN,13.0,1.0,3.0,17.0,0.7647058823529411,76.47%
THEA 10123,202580,THEA,CotA,THDN,13.0,4.0,0.0,17.0,0.7647058823529411,76.47%
ARCS 29348,202410,ARCS,CAED,ARCH,13.0,2.0,2.0,17.0,0.7647058823529411,76.47%
FDM 25693,202610,FDM,CotA,FDM,26.0,2.0,6.0,34.0,0.7647058823529411,76.47%
COMM 21241,202280,COMM,CCI,COMM,39.0,5.0,7.0,51.0,0.7647058823529411,76.47%
THEA 11654,202480,THEA,CotA,THDN,13.0,3.0,1.0,17.0,0.7647058823529411,76.47%
ID 11937,202480,ID,CAED,ARCH,42.0,10.0,3.0,55.0,0.7636363636363637,76.36%
MUS 28860,202580,MUS,CotA,MUS,42.0,5.0,8.0,55.0,0.7636363636363637,76.36%
COMM 21241,202610,COMM,CCI,COMM,42.0,9.0,4.0,55.0,0.7636363636363637,76.36%
ARCH 16841,202380,ARCH,CAED,ARCH,426.0,70.0,62.0,558.0,0.7634408602150538,76.34%
EMAT 19538,202280,EMAT,CCI,EMAT,158.0,31.0,18.0,207.0,0.7632850241545893,76.33%
CMGT 11015,202480,CMGT,CAED,ARCH,29.0,6.0,3.0,38.0,0.7631578947368421,76.32%
MDJ 21449,202510,MDJ,CCI,MDJ,29.0,5.0,4.0,38.0,0.7631578947368421,76.32%
FDM 25884,202580,FDM,CotA,FDM,148.0,27.0,19.0,194.0,0.7628865979381443,76.29%
EMAT 12670,202310,EMAT,CCI,EMAT,16.0,3.0,2.0,21.0,0.7619047619047619,76.19%
THEA 22915,202410,THEA,CotA,THDN,16.0,3.0,2.0,21.0,0.7619047619047619,76.19%
EMAT 19538,202580,EMAT,CCI,EMAT,150.0,22.0,25.0,197.0,0.7614213197969543,76.14%
FDM 17764,202380,FDM,CotA,FDM,134.0,20.0,22.0,176.0,0.7613636363636364,76.14%
FDM 11617,202510,FDM,CotA,FDM,118.0,22.0,15.0,155.0,0.7612903225806451,76.13%
ARTS 28482,202410,ARTS,CotA,ART,51.0,9.0,7.0,67.0,0.7611940298507462,76.12%
CMGT 16841,202580,CMGT,CAED,ARCH,76.0,15.0,9.0,100.0,0.76,76.00%
MUS 22669,202310,MUS,CotA,MUS,19.0,2.0,4.0,25.0,0.76,76.00%
ID 19883,202410,ID,CAED,ARCH,38.0,4.0,8.0,50.0,0.76,76.00%
FDM 20907,202380,FDM,CotA,FDM,38.0,7.0,5.0,50.0,0.76,76.00%
MUS 28740,202310,MUS,CotA,MUS,19.0,2.0,4.0,25.0,0.76,76.00%
ARCH 19059,202380,ARCH,CAED,ARCH,95.0,15.0,15.0,125.0,0.76,76.00%
FDM 21467,202580,FDM,CotA,FDM,145.0,27.0,19.0,191.0,0.7591623036649214,75.92%
MDJ 28950,202480,MDJ,CCI,MDJ,63.0,12.0,8.0,83.0,0.7590361445783133,75.90%
ID 21822,202380,ID,CAED,ARCH,63.0,7.0,13.0,83.0,0.7590361445783133,75.90%
ARTH 12842,202380,ARTH,CotA,ART,258.0,40.0,42.0,340.0,0.7588235294117647,75.88%
EMAT 26013,202610,EMAT,CCI,EMAT,44.0,7.0,7.0,58.0,0.7586206896551724,75.86%
VCD 19588,202480,VCD,CCI,VCD,157.0,28.0,22.0,207.0,0.7584541062801933,75.85%
MDJ 25459,202380,MDJ,CCI,MDJ,25.0,4.0,4.0,33.0,0.7575757575757576,75.76%
MDJ 15027,202280,MDJ,CCI,MDJ,493.0,80.0,78.0,651.0,0.7572964669738863,75.73%
ID 24050,202580,ID,CAED,ARCH,78.0,11.0,14.0,103.0,0.7572815533980582,75.73%
FDM 29298,202280,FDM,CotA,FDM,184.0,26.0,33.0,243.0,0.757201646090535,75.72%
ART 29123,202480,ART,CotA,ART,62.0,12.0,8.0,82.0,0.7560975609756098,75.61%
MDJ 21449,202310,MDJ,CCI,MDJ,31.0,2.0,8.0,41.0,0.7560975609756098,75.61%
MUS 28860,202280,MUS,CotA,MUS,31.0,6.0,4.0,41.0,0.7560975609756098,75.61%
ARCH 19059,202480,ARCH,CAED,ARCH,133.0,20.0,23.0,176.0,0.7556818181818182,75.57%
ARTS 22958,202280,ARTS,CotA,ART,34.0,6.0,5.0,45.0,0.7555555555555555,75.56%
COMM 21241,202410,COMM,CCI,COMM,37.0,8.0,4.0,49.0,0.7551020408163265,75.51%
VCD 24327,202510,VCD,CCI,VCD,74.0,12.0,12.0,98.0,0.7551020408163265,75.51%
ARTS 19694,202610,ARTS,CotA,ART,77.0,15.0,10.0,102.0,0.7549019607843137,75.49%
FDM 29003,202610,FDM,CotA,FDM,77.0,13.0,12.0,102.0,0.7549019607843137,75.49%
VCD 13182,202480,VCD,CCI,VCD,40.0,6.0,7.0,53.0,0.7547169811320755,75.47%
