Course Code,Academic Period,Subject,Subject College,Department,MT C or Higher,"MT C-, D, F, W",MT Not Reported,Total Grades,# of Passing Grades,% of Passing Grades
MDJ 25946,202380,MDJ,CCI,MDJ,85.0,9.0,6.0,100.0,0.85,85.00%
CMGT 11015,202580,CMGT,CAED,ARCH,34.0,2.0,4.0,40.0,0.85,85.00%
VCD 17213,202510,VCD,CCI,VCD,34.0,3.0,3.0,40.0,0.85,85.00%
THEA 29275,202380,THEA,CotA,THDN,45.0,5.0,3.0,53.0,0.8490566037735849,84.91%
VCD 18414,202610,VCD,CCI,VCD,28.0,3.0,2.0,33.0,0.8484848484848485,84.85%
ARCH 29604,202510,ARCH,CAED,ARCH,67.0,7.0,5.0,79.0,0.8481012658227848,84.81%
ID 11937,202580,ID,CAED,ARCH,61.0,2.0,9.0,72.0,0.8472222222222222,84.72%
ARCH 13310,202610,ARCH,CAED,ARCH,83.0,9.0,6.0,98.0,0.8469387755102041,84.69%
FDM 19829,202610,FDM,CotA,FDM,94.0,11.0,6.0,111.0,0.8468468468468469,84.68%
ARCH 24669,202380,ARCH,CAED,ARCH,77.0,5.0,9.0,91.0,0.8461538461538461,84.62%
VCD 25988,202580,VCD,CCI,VCD,66.0,9.0,3.0,78.0,0.8461538461538461,84.62%
ARCS 26039,202280,ARCS,CAED,ARCH,11.0,0.0,2.0,13.0,0.8461538461538461,84.62%
THEA 29566,202580,THEA,CotA,THDN,11.0,1.0,1.0,13.0,0.8461538461538461,84.62%
MDJ 12683,202310,MDJ,CCI,MDJ,33.0,4.0,2.0,39.0,0.8461538461538461,84.62%
MDJ 12062,202380,MDJ,CCI,MDJ,11.0,0.0,2.0,13.0,0.8461538461538461,84.62%
ARCH 14775,202610,ARCH,CAED,ARCH,71.0,6.0,7.0,84.0,0.8452380952380952,84.52%
FDM 20725,202310,FDM,CotA,FDM,136.0,17.0,8.0,161.0,0.84472049689441,84.47%
MDJ 28950,202580,MDJ,CCI,MDJ,87.0,8.0,8.0,103.0,0.8446601941747572,84.47%
ARTS 19694,202410,ARTS,CotA,ART,76.0,10.0,4.0,90.0,0.8444444444444444,84.44%
FDM 14111,202280,FDM,CotA,FDM,173.0,15.0,17.0,205.0,0.8439024390243902,84.39%
ART 21467,202480,ART,CotA,ART,54.0,4.0,6.0,64.0,0.84375,84.38%
ID 29543,202510,ID,CAED,ARCH,70.0,5.0,8.0,83.0,0.8433734939759037,84.34%
FDM 25884,202310,FDM,CotA,FDM,129.0,14.0,10.0,153.0,0.8431372549019608,84.31%
MDJ 13358,202610,MDJ,CCI,MDJ,86.0,11.0,5.0,102.0,0.8431372549019608,84.31%
ARTS 28482,202510,ARTS,CotA,ART,59.0,7.0,4.0,70.0,0.8428571428571429,84.29%
FDM 25693,202310,FDM,CotA,FDM,75.0,9.0,5.0,89.0,0.8426966292134831,84.27%
VCD 25988,202510,VCD,CCI,VCD,48.0,5.0,4.0,57.0,0.8421052631578947,84.21%
THEA 11654,202280,THEA,CotA,THDN,16.0,0.0,3.0,19.0,0.8421052631578947,84.21%
MDJ 21449,202380,MDJ,CCI,MDJ,16.0,2.0,1.0,19.0,0.8421052631578947,84.21%
FDM 14111,202480,FDM,CotA,FDM,148.0,14.0,14.0,176.0,0.8409090909090909,84.09%
MDJ 25459,202310,MDJ,CCI,MDJ,42.0,2.0,6.0,50.0,0.84,84.00%
THEA 15947,202280,THEA,CotA,THDN,21.0,0.0,4.0,25.0,0.84,84.00%
FDM 20907,202610,FDM,CotA,FDM,84.0,11.0,5.0,100.0,0.84,84.00%
MUS 10469,202510,MUS,CotA,MUS,42.0,5.0,3.0,50.0,0.84,84.00%
VCD 17656,202510,VCD,CCI,VCD,21.0,1.0,3.0,25.0,0.84,84.00%
FDM 29298,202380,FDM,CotA,FDM,177.0,16.0,18.0,211.0,0.8388625592417062,83.89%
THEA 13155,202480,THEA,CotA,THDN,26.0,1.0,4.0,31.0,0.8387096774193549,83.87%
THEA 25988,202310,THEA,CotA,THDN,26.0,3.0,2.0,31.0,0.8387096774193549,83.87%
MDJ 22796,202410,MDJ,CCI,MDJ,31.0,4.0,2.0,37.0,0.8378378378378378,83.78%
ARCH 11467,202480,ARCH,CAED,ARCH,279.0,28.0,26.0,333.0,0.8378378378378378,83.78%
FDM 19829,202310,FDM,CotA,FDM,72.0,9.0,5.0,86.0,0.8372093023255814,83.72%
THEA 17060,202480,THEA,CotA,THDN,36.0,5.0,2.0,43.0,0.8372093023255814,83.72%
THEA 17060,202280,THEA,CotA,THDN,36.0,6.0,1.0,43.0,0.8372093023255814,83.72%
THEA 22478,202510,THEA,CotA,THDN,36.0,3.0,4.0,43.0,0.8372093023255814,83.72%
MUS 23241,202380,MUS,CotA,MUS,472.0,54.0,38.0,564.0,0.8368794326241135,83.69%
MDJ 20288,202310,MDJ,CCI,MDJ,41.0,3.0,5.0,49.0,0.8367346938775511,83.67%
FDM 21467,202310,FDM,CotA,FDM,133.0,15.0,11.0,159.0,0.8364779874213837,83.65%
ART 21467,202580,ART,CotA,ART,51.0,6.0,4.0,61.0,0.8360655737704918,83.61%
FDM 12721,202410,FDM,CotA,FDM,127.0,10.0,15.0,152.0,0.8355263157894737,83.55%
ART 29123,202280,ART,CotA,ART,76.0,5.0,10.0,91.0,0.8351648351648352,83.52%
FDM 25693,202380,FDM,CotA,FDM,131.0,14.0,12.0,157.0,0.8343949044585988,83.44%
THEA 22478,202280,THEA,CotA,THDN,10.0,1.0,1.0,12.0,0.8333333333333334,83.33%
FDM 23628,202280,FDM,CotA,FDM,95.0,10.0,9.0,114.0,0.8333333333333334,83.33%
VCD 24327,202610,VCD,CCI,VCD,55.0,8.0,3.0,66.0,0.8333333333333334,83.33%
AED 22860,202410,AED,CAED,ARCH,10.0,1.0,1.0,12.0,0.8333333333333334,83.33%
ARCS 12721,202310,ARCS,CAED,ARCH,10.0,0.0,2.0,12.0,0.8333333333333334,83.33%
DAN 13945,202380,DAN,CotA,THDN,15.0,2.0,1.0,18.0,0.8333333333333334,83.33%
EMAT 12670,202410,EMAT,CCI,EMAT,15.0,1.0,2.0,18.0,0.8333333333333334,83.33%
ARCS 11014,202610,ARCS,CAED,ARCH,10.0,2.0,0.0,12.0,0.8333333333333334,83.33%
EMAT 12670,202610,EMAT,CCI,EMAT,20.0,2.0,2.0,24.0,0.8333333333333334,83.33%
ARTS 22958,202610,ARTS,CotA,ART,55.0,9.0,2.0,66.0,0.8333333333333334,83.33%
VCD 19588,202510,VCD,CCI,VCD,90.0,9.0,9.0,108.0,0.8333333333333334,83.33%
THEA 14029,202310,THEA,CotA,THDN,15.0,3.0,0.0,18.0,0.8333333333333334,83.33%
ARTH 14683,202410,ARTH,CotA,ART,55.0,7.0,4.0,66.0,0.8333333333333334,83.33%
ARTH 14683,202610,ARTH,CotA,ART,55.0,4.0,7.0,66.0,0.8333333333333334,83.33%
THEA 20655,202580,THEA,CotA,THDN,35.0,1.0,6.0,42.0,0.8333333333333334,83.33%
MDJ 25946,202610,MDJ,CCI,MDJ,49.0,6.0,4.0,59.0,0.8305084745762712,83.05%
VCD 24327,202410,VCD,CCI,VCD,98.0,8.0,12.0,118.0,0.8305084745762712,83.05%
FDM 12681,202580,FDM,CotA,FDM,93.0,9.0,10.0,112.0,0.8303571428571429,83.04%
FDM 18819,202380,FDM,CotA,FDM,68.0,9.0,5.0,82.0,0.8292682926829268,82.93%
THEA 22915,202380,THEA,CotA,THDN,34.0,4.0,3.0,41.0,0.8292682926829268,82.93%
FDM 12670,202310,FDM,CotA,FDM,145.0,16.0,14.0,175.0,0.8285714285714286,82.86%
ARCH 13310,202310,ARCH,CAED,ARCH,82.0,11.0,6.0,99.0,0.8282828282828283,82.83%
EMAT 19538,202410,EMAT,CCI,EMAT,144.0,18.0,12.0,174.0,0.8275862068965517,82.76%
MDJ 25865,202480,MDJ,CCI,MDJ,24.0,3.0,2.0,29.0,0.8275862068965517,82.76%
COMM 21241,202480,COMM,CCI,COMM,48.0,4.0,6.0,58.0,0.8275862068965517,82.76%
VCD 19588,202410,VCD,CCI,VCD,91.0,12.0,7.0,110.0,0.8272727272727273,82.73%
VCD 20802,202480,VCD,CCI,VCD,81.0,10.0,7.0,98.0,0.826530612244898,82.65%
ARCH 24669,202480,ARCH,CAED,ARCH,76.0,9.0,7.0,92.0,0.8260869565217391,82.61%
ART 20725,202380,ART,CotA,ART,38.0,3.0,5.0,46.0,0.8260869565217391,82.61%
CMGT 17964,202610,CMGT,CAED,ARCH,85.0,12.0,6.0,103.0,0.8252427184466019,82.52%
CMGT 11015,202280,CMGT,CAED,ARCH,33.0,3.0,4.0,40.0,0.825,82.50%
VCD 20802,202410,VCD,CCI,VCD,33.0,2.0,5.0,40.0,0.825,82.50%
MDJ 25459,202410,MDJ,CCI,MDJ,33.0,2.0,5.0,40.0,0.825,82.50%
ARCH 29604,202310,ARCH,CAED,ARCH,80.0,11.0,6.0,97.0,0.8247422680412371,82.47%
ID 15409,202510,ID,CAED,ARCH,47.0,7.0,3.0,57.0,0.8245614035087719,82.46%
FDM 12681,202280,FDM,CotA,FDM,75.0,10.0,6.0,91.0,0.8241758241758241,82.42%
CCI 11716,202380,CCI,CCI,CCI,103.0,13.0,9.0,125.0,0.824,82.40%
ARCH 16841,202280,ARCH,CAED,ARCH,313.0,42.0,25.0,380.0,0.8236842105263158,82.37%
FDM 23628,202580,FDM,CotA,FDM,84.0,7.0,11.0,102.0,0.8235294117647058,82.35%
ARCH 24669,202580,ARCH,CAED,ARCH,98.0,14.0,7.0,119.0,0.8235294117647058,82.35%
